企业利润,平台利润,消费者总效益,flag
9869.96,2574.19,38096.99,0
9256.11,1774.75,51138.8,0
8058.53,2041.97,36430.28,0
9124.53,2151.5,25336.57,0
7806.51,2141.77,36985.98,0
7545.55,1730.04,47940.44,0
8889.02,1821.48,29132.41,0
5475.59,1916.27,56202.6,0
7770.51,3436.3,45088.06,0
5874.6,1857.74,48137.43,0
7343.83,2480.23,32184.94,0
10202.07,1945.36,26807.81,0
9680.18,2156.43,49845.16,0
10740.07,2110.62,36342.29,0
8939.1,2367.09,36504.94,0
7290.55,1871.64,40457.79,0
10670.59,2148.78,45051.26,0
9914.71,2259.17,38877.63,0
8054.31,2259.37,53697.66,0
10346.1,1813.73,27442.58,0
5528.04,2092.76,53301.28,0
7067.13,4722.96,49701.06,0
9045.75,2450.24,43342.87,0
5582.27,5617.19,27913.23,0
9243.53,1792.32,52467.01,0
9313.47,2362.76,46049.17,0
8062.97,2599.62,31570.11,0
8707.25,1955.81,29172.17,0
6075.5,2282.23,42991.02,0
8090.57,2114.84,38458.98,0
4353.92,3361.87,39506.52,0
5195.57,4649.74,39899.2,0
10359.29,2089.83,44157.86,0
8253.34,2285.89,28785.77,0
5107.58,5455.92,45703.5,0
7666.39,1704.61,47165.26,0
11368.08,1752.59,39758.28,0
6932.78,2614.75,55527.71,0
6421.14,1958.87,49627.57,0
9148.32,2117.7,26465.09,0
5787.78,2494.7,29029.18,0
9308.02,1718.88,30677.53,0
3256.42,3737.73,57584.84,0
9102.4,3406.1,40575.56,0
6198.72,2418.25,34563.67,0
7487.06,2588.14,49185.03,0
8149.88,5447.84,39981.26,0
5673.88,5108.65,36346.93,0
5469.59,3802.26,26603.89,1
8532.7,2428.78,30060.04,0
4590.76,4572.54,47459.17,0
5168.78,5316.69,46125.3,0
8725.2,2477.76,41953.73,0
6821.36,2495.29,42895.63,0
7961.31,2298.53,49880.79,0
7033.55,2391.59,39251.22,0
8237.77,2313.94,52318.5,0
7595.56,1842.58,45026.39,0
2084.81,4920.73,59060.63,0
5747.93,2282.13,50830.18,0
8866.06,2092.07,43561.71,0
5755.58,2593.67,50301.16,0
5950.82,4567.39,27069.5,1
8354.07,2238.72,50676.46,0
8780.09,1771.69,35699.11,0
8780.32,4087.61,41596.29,0
9624.88,2192.18,41421.68,0
2611.1,4911.58,47018.65,0
8389.01,2006.43,40850.2,0
4649.95,3348.91,30940.44,0
8407.45,2141.5,53439.99,0
7624.64,1864.7,26711.74,1
8616.56,2567.49,37628.43,0
8916.48,3433.46,26071.95,0
9880.92,2373.76,49434.97,0
9128.69,2142.63,29483.06,0
5164.22,2309.66,60418.83,0
3616.73,3371.91,59335.01,0
1571.22,2178.12,67227.46,1
7453.02,1894.91,27332.15,0
8528.26,2159.36,50868.41,0
4283.15,5322.81,55822.61,0
7406.61,2775.82,53402.31,0
7810.27,2114.79,37286.04,0
5577.77,3744.7,46580.6,0
10476.18,2542.56,44048.1,0
9542.28,2276.36,34009.93,0
8173.16,1675.86,29173.85,0
10167.43,1856.16,27681.39,0
1229.42,1973.96,64532.3,1
3670.03,4107.51,57625.5,0
7135.41,2094.52,55584.64,0
9810.18,1902.5,42126.11,0
8780.49,2013.41,52968.63,0
6244.65,1740.22,46602.57,0
5159.9,3004.25,46273.39,0
8434.23,2081.94,39476.9,0
10195.97,1842.68,38506.0,0
7319.03,1979.86,51884.16,0
9604.52,2729.54,38328.27,0
7714.6,3110.99,30291.74,0
6544.51,1959.13,40161.25,0
9066.61,2176.41,50895.78,0
7375.7,3226.23,54579.57,0
6928.61,1769.79,28490.41,0
10469.75,2011.91,34983.88,0
8452.52,2106.31,34179.47,0
7157.46,1942.39,36879.34,0
5581.0,2772.92,60742.01,0
6394.58,1923.28,53954.71,0
8883.45,1937.41,44785.28,0
9375.25,1800.33,40516.59,0
7026.83,2759.09,36058.64,0
11820.98,1625.33,30172.64,0
6672.82,4377.32,29251.67,0
3855.82,6115.42,52321.86,0
8190.9,3636.21,34413.57,0
6128.96,1846.62,41821.5,0
6918.17,1822.1,40352.81,0
8507.7,2408.0,38153.84,0
7786.12,2515.06,44985.01,0
9794.08,1828.55,24823.97,1
5362.19,1922.37,51983.9,0
6656.24,2595.44,35731.35,0
4451.45,5110.72,45967.71,0
9388.53,2016.78,31289.36,0
6616.12,2455.54,31128.93,0
7406.69,2109.68,46006.76,0
2020.87,5336.76,59124.12,0
9898.45,2047.47,50755.23,0
5889.57,2508.83,40658.24,0
8377.45,2167.49,35516.02,0
