企业利润,平台利润,消费者总效益
8042.838974,3952.784608,55668.32827
11130.82015,459.6250182,54941.17317
4648.330104,6588.232876,57125.34888
6521.923855,5855.045706,54423.11809
7610.629219,6670.641527,50010.0038
8836.387653,-1415.66771,67424.80732
8111.216923,3273.622849,59081.61497
11536.27511,1248.679921,50103.43303
2108.679431,3362.537952,68296.59065
6501.901954,6972.184321,49764.06707
2646.975335,1698.4865,70741.26981
7650.367645,6022.33275,52650.13717
11040.26891,4879.187648,36506.45939
10974.0451,4541.156479,49099.25919
3739.028404,2050.081275,68702.92003
5679.989142,-100.2875527,70266.52512
8638.943859,2022.280639,61510.54225
11588.77358,1824.754233,49107.25342
10843.68853,4866.405095,42642.99346
9848.909952,5490.710314,49544.49109
6481.802879,-211.9985285,70097.99087
8476.852231,6417.952312,49398.92277
7570.508659,3474.694737,58480.87463
6431.278906,4055.603944,57931.7942
8536.345008,5441.021498,53414.46227
5239.03269,7299.646367,53137.15829
3290.019158,3079.391789,67199.27912
5856.600867,6345.928686,55993.2388
6477.729451,6192.00797,53040.8481
5109.538447,7402.153535,42229.40354
8939.755607,1133.080953,65078.40094
9358.103929,5861.188656,49986.75872
4513.194166,4768.726436,60514.0565
5069.55451,5269.439299,57514.62535
9606.558771,5892.228121,41828.92638
8725.029418,6243.862493,52390.71953
8447.719632,1937.277223,66764.44546
5827.800968,3483.949596,60734.0076
11334.21921,601.2161057,50672.64638
6874.482589,6848.62843,29705.07332
8312.082312,-1606.700552,69053.02414
6185.989581,5014.722513,56574.99409
10585.91464,5082.423008,49322.64131
5617.297854,7290.262173,41108.22384
8431.738209,3603.748155,56134.26239
6593.492865,6907.60774,43312.19968
2926.605678,6758.261602,58715.97845
10462.9211,5258.239329,43867.28518
10492.66137,5265.547369,36024.35263
9377.819688,5980.298553,45702.58716
3754.649309,7782.999282,43413.82707
7937.446454,3518.093544,56605.05069
7445.724467,3775.907385,56567.04243
8082.151207,-651.5472761,69187.85719
5032.932896,6960.697263,56084.54532
9131.811382,1789.24743,58141.25575
9975.469538,2819.69254,52935.85346
8348.308046,2386.69523,63533.80212
7043.261401,5881.197178,53029.54366
5159.550983,6663.977725,56041.91464
8102.575867,2562.185923,61700.91093
5446.16823,7314.022368,51133.32348
8408.854628,3921.916873,54244.16667
6168.318363,7026.345402,51739.70143
3922.348263,7608.021336,53573.84994
3005.005245,2468.018757,69106.36167
5538.995085,4844.62285,57680.03253
9164.113543,2306.522149,57481.86028
7064.970478,3427.288444,59793.08609
8413.352808,6445.792616,52394.51831
11892.97744,1837.090795,43661.42439
8236.527436,1993.373236,64552.97835
9970.75496,5129.732205,49788.37341
10187.99534,4275.115086,50282.12659
7650.147153,5724.18072,53571.56473
8768.798317,1619.188503,61696.94547
4961.905207,7594.324932,36095.48138
7883.476386,195.8401263,69285.52506
2581.065981,6305.838231,60152.87922
8156.779354,2388.118226,66910.28414
9012.245096,4532.206379,52389.65877
11000.91097,4490.375256,45808.44045
9981.515279,2358.004327,54203.97128
9067.743242,1122.769569,61227.3034
4380.130644,5310.025179,61283.94842
8914.530556,1394.601797,63175.03747
